"age","workclass","education","marital.status","occupation","native.country","income"
0.301369863013699," State-gov"," Bachelors"," Never-married"," Adm-clerical"," United-States",0
0.452054794520548," Self-emp-not-inc"," Bachelors"," Married-civ-spouse"," Exec-managerial"," United-States",0
0.287671232876712," Private"," HS-grad"," Divorced"," Handlers-cleaners"," United-States",0
0.493150684931507," Private"," 11th"," Married-civ-spouse"," Handlers-cleaners"," United-States",0
0.150684931506849," Private"," Bachelors"," Married-civ-spouse"," Prof-specialty"," Cuba",0
0.273972602739726," Private"," Masters"," Married-civ-spouse"," Exec-managerial"," United-States",0
0.438356164383562," Private"," 9th"," Married-spouse-absent"," Other-service"," Jamaica",0
0.479452054794521," Self-emp-not-inc"," HS-grad"," Married-civ-spouse"," Exec-managerial"," United-States",1
0.191780821917808," Private"," Masters"," Never-married"," Prof-specialty"," United-States",1
0.342465753424658," Private"," Bachelors"," Married-civ-spouse"," Exec-managerial"," United-States",1
0.273972602739726," Private"," Some-college"," Married-civ-spouse"," Exec-managerial"," United-States",1
0.178082191780822," State-gov"," Bachelors"," Married-civ-spouse"," Prof-specialty"," India",1
0.0821917808219178," Private"," Bachelors"," Never-married"," Adm-clerical"," United-States",0
0.205479452054795," Private"," Assoc-acdm"," Never-married"," Sales"," United-States",0
0.232876712328767," Private"," 7th-8th"," Married-civ-spouse"," Transport-moving"," Mexico",0
0.10958904109589," Self-emp-not-inc"," HS-grad"," Never-married"," Farming-fishing"," United-States",0
0.205479452054795," Private"," HS-grad"," Never-married"," Machine-op-inspct"," United-States",0
0.287671232876712," Private"," 11th"," Married-civ-spouse"," Sales"," United-States",0
0.356164383561644," Self-emp-not-inc"," Masters"," Divorced"," Exec-managerial"," United-States",1
0.315068493150685," Private"," Doctorate"," Married-civ-spouse"," Prof-specialty"," United-States",1
0.506849315068493," Private"," HS-grad"," Separated"," Other-service"," United-States",0
0.246575342465753," Federal-gov"," 9th"," Married-civ-spouse"," Farming-fishing"," United-States",0
0.356164383561644," Private"," 11th"," Married-civ-spouse"," Transport-moving"," United-States",0
0.575342465753425," Private"," HS-grad"," Divorced"," Tech-support"," United-States",0
0.534246575342466," Local-gov"," Bachelors"," Married-civ-spouse"," Tech-support"," United-States",1
0.0273972602739726," Private"," HS-grad"," Never-married"," Craft-repair"," United-States",0
0.301369863013699," Private"," HS-grad"," Divorced"," Exec-managerial"," United-States",0
0.438356164383562," Private"," HS-grad"," Married-civ-spouse"," Craft-repair"," United-States",0
0.0821917808219178," Local-gov"," Assoc-acdm"," Never-married"," Protective-serv"," United-States",0
0.0410958904109589," Private"," Some-college"," Never-married"," Sales"," United-States",0
0.383561643835616," Private"," Bachelors"," Divorced"," Exec-managerial"," United-States",0
0.178082191780822," Federal-gov"," Some-college"," Married-civ-spouse"," Adm-clerical"," United-States",0
0.0684931506849315," State-gov"," Some-college"," Married-civ-spouse"," Other-service"," United-States",0
0.424657534246575," Private"," 11th"," Never-married"," Machine-op-inspct"," Puerto-Rico",0
0.0547945205479452," Private"," Some-college"," Never-married"," Machine-op-inspct"," United-States",0
0.0273972602739726," Private"," HS-grad"," Married-AF-spouse"," Adm-clerical"," United-States",0
0.424657534246575," Self-emp-not-inc"," Assoc-acdm"," Married-civ-spouse"," Prof-specialty"," United-States",0
0.191780821917808," Private"," 9th"," Married-civ-spouse"," Machine-op-inspct"," United-States",0
0.493150684931507," Self-emp-not-inc"," Bachelors"," Married-civ-spouse"," Prof-specialty"," United-States",0
0.0958904109589041," Private"," Bachelors"," Married-civ-spouse"," Tech-support"," United-States",0
0.438356164383562," Private"," HS-grad"," Separated"," Adm-clerical"," United-States",0
0.10958904109589," Private"," HS-grad"," Never-married"," Handlers-cleaners"," United-States",0
0.547945205479452," Federal-gov"," Bachelors"," Married-civ-spouse"," Prof-specialty"," United-States",1
0.493150684931507," Private"," HS-grad"," Married-civ-spouse"," Machine-op-inspct"," United-States",0
0.36986301369863," Private"," Masters"," Divorced"," Exec-managerial"," United-States",0
0.328767123287671," State-gov"," Assoc-voc"," Married-civ-spouse"," Craft-repair"," United-States",0
0.164383561643836," Private"," Assoc-voc"," Never-married"," Prof-specialty"," United-States",0
0.10958904109589," Private"," Some-college"," Married-civ-spouse"," Exec-managerial"," United-States",0
0.410958904109589," Private"," Prof-school"," Married-civ-spouse"," Prof-specialty"," Honduras",1
